#    Dat Name: Sega - Mega Drive - Genesis
#     Version: 20160524-120709
# Description: Sega - Mega Drive - Genesis
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 1706
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
e3c65277	0	
b6ea5016	1991	
7f891dfc	0	
caa05930	0	
4967c9f9	0	
15357dde	0	
bbfaad77	1989	
a7cacd59	0	
679557bc	0	
72f11771	0	
b97cca1c	0	
6a1a4579	1992	
f015c2ad	1992	
68c70362	1992	
741eb624	0	
de59a3a3	0	
ca2bf99d	0	
f25f1e49	0	
51d9a84a	0	
f4010503	0	
4bfe045c	0	
e5fdd28b	0	
2adb0364	0	
52c7252b	0	
237076a4	0	
6d0cbcb2	0	
beb715dc	0	
c8f8c0e0	0	
5696a5bc	0	
b5e09338	0	
1b86e623	0	
238bf5db	0	
1f14efc6	0	
17bed25f	0	
7ba49edb	0	
140a284c	0	
2997b7d4	0	
1d8ee010	0	
a3cf6e9c	0	
2b4c3ec1	0	
1e2f74cf	0	
14a8064d	0	
58a7f7b4	0	
ddd02ba4	0	
12e35994	0	
d14b811b	0	
db0be0c2	0	
f126918b	0	
c4b4e112	0	
e051ea62	0	
dd82c401	0	
1a5d4412	1995	
e43e853d	0	
f11060a5	0	
1ccbc782	0	
10bb359b	0	
cae0e3a6	0	
24a7f28c	0	
775bc464	0	
79eba28a	0	
7f1dc0aa	0	
f664eb6c	0	
2b8c8cce	1994	
2307b905	0	
273e5640	0	
e09bbd70	0	
c76558df	0	
5d162d21	0	
cd7eeeb7	0	
48993dc3	0	
d51ee8c2	0	
91354820	0	
12ad6178	0	
b804a105	0	
d055a462	0	
36459b59	0	
45b3a34b	0	
1bd9fef1	0	
4b07a105	0	
6ab6a8da	0	
febcfd06	0	
7bf477e8	0	
4ef48990	0	
3ef4135d	0	
8ece3670	0	
54ab3beb	1994	
4bd6667d	1994	
30d59f2f	0	
b4247d98	0	
b66fb80d	0	
e8d10db9	0	
fe3e7e4f	0	
db753224	0	
a60d8619	1993	
dcf6e8b2	1994	
78c2f046	0	
b1d15d0f	0	
fe898cc9	0	
2148d56d	0	
ab9fed30	0	
3b3231ed	0	
76df2ae2	0	
fab33cc2	0	
6240f579	0	
a0837741	0	
936b85f7	0	
42dc03e4	0	
a8df1c4c	1993	
6a70791b	1990	
11ce1f9e	0	
40f17bb3	1992	
8c2af210	0	
cb5a8b85	1994	
23180cf7	1995	
629e5963	1994	
7fc1bdf0	0	
30b512ee	1994	
7ffbd1ad	1993	
e5cf560d	0	
50081a0b	0	
42bfb7eb	1994	
1c22a5d0	0	
b3abb15e	1996	
7492b1de	1995	
23319d0d	0	
8f3f6e4d	1991	
187c6af6	1991	
c0dce0e5	1996	
70b0a5d7	1993	
3d239046	1993	
59ccabb2	1993	
f509145f	1991	
6ef7104a	0	
7f96e663	1994	
715158a9	1994	
254a4972	1995	
aa941cbc	1995	
de50ca8e	0	
6078b310	1991	
bd89fd09	1992	
38174f40	0	
a719542e	0	
c10268da	0	
dfbcc3fa	0	
36a3aaa4	0	
1aa3a207	0	
33f19ab6	0	
af6de3e8	0	
dd638af6	0	
a9e013d8	0	
786ea0b0	1994	
af041be6	0	
24431625	1991	
a920c852	0	
b638b6a3	0	
7b852653	0	
8fde18ab	0	
2a97e6af	1993	
dce29c9d	1993	
3529180f	1994	
f9ce1ab8	1990	
50fd5d93	0	
b2f2a69b	1992	
99c348ba	0	
aa7006d6	0	
c4674adf	0	
edb4d4aa	1997	
176b0338	1996	
a6c6305a	1994	
10fa248f	1994	
eb8360e6	0	
e9ffcb37	1995	
779c1244	0	
66018abc	0	
49de0062	0	
7024843a	0	
23473a8a	0	
eae8c000	0	
eea19bce	0	
4416ce39	0	
6643a308	0	
160b7090	0	
ed0c1303	0	
81012f00	0	
b58e4a81	0	
f73ec54c	0	
e490dc4a	0	
d486ed50	0	
94542eaf	0	
d5a37cab	0	
ce0b1fe1	0	
9fbb30e0	0	
9438f5dd	0	
e8ee917e	0	
8135702c	0	
f067c103	0	
7b64cd98	0	
e6c0218b	0	
2641653f	1991	
cbbf4262	0	
f361d0bf	0	
93be47cf	0	
24f87987	0	
8774bc79	0	
f49c3a86	0	
bd090c67	0	
d2a9bf92	0	
96ed2e5d	0	
cbe2c1f6	0	
ead69824	1994	
1c77ad21	0	
1233a229	0	
3fe3d63b	0	
6bc57b2c	0	
6da32170	1996	
31de5a94	0	
c3655a59	1991	
a8d828a0	0	
d7f74ba0	0	
44ee5f20	1994	
30bf8637	1991	
96c01fc6	1994	
1381b313	1993	
b9bc07bc	1994	
b56a8220	0	
b7f68b29	0	
924e57d3	0	
e9c925b8	0	
339594b4	0	
af639376	0	
9e470fb9	0	
67ccb1ca	0	
9f19d6df	0	
e16b102c	0	
1c0dd42f	0	
e7cba1d8	0	
2453350c	0	
41ac8003	0	
c6e3dd23	0	
2da36e01	0	
ee7d9f4a	1991	
fdd9a8d2	1991	
5cb3536a	1993	
eac74400	1993	
e32e17e2	1993	
d2ecddfa	0	
e164a09f	0	
ede636b9	0	
fe6f2350	0	
c5ba7bbf	1993	
88ba8250	0	
d9d4c6e2	0	
8ca45acd	0	
9698bbde	0	
489ff8e0	0	
c1f0b4e1	0	
c05b7a4a	0	
16b2d816	0	
e82b8606	0	
aeb3f65f	0	
5df382f7	0	
fe7a7ed1	0	
74bba09b	1991	
ebd6d5ba	0	
9d137e7f	0	
3d8147e6	0	
79a180e2	0	
75a96d4e	0	
29895e3d	0	
9e57d92e	1994	
54d82f86	1993	
e14250ae	0	
a44819b0	0	
1de28bb1	0	
9d4b447a	0	
3d9318a7	0	
6cfc7297	0	
95823c43	0	
5a486e90	0	
5a8abe51	0	
d1e2324b	0	
9ef5bbd1	0	
94e505b2	0	
aa8b19bc	0	
f0bfad42	0	
e6688b66	0	
d07d0ef0	1990	
904fa047	0	
a3a724aa	0	
fafa5b6f	0	
1a076f83	0	
bec8eb5a	1989	
c334f308	0	
3d9ad465	0	
6b5916d2	0	
1f83beb2	0	
d40c76d6	0	
2e9b4c23	0	
c6b42b0f	0	
389c2968	0	
fe236442	0	
b024882e	1995	
fb36e1f3	1995	
13abc2b2	1991	
94596174	1990	
11c79320	1990	
dfb94f1b	0	
4261ea9b	2010	
25b7063e	0	
56087cff	0	
b5804771	0	
28014bdc	0	
cd4128d8	0	
c45b9f70	1994	
a62de340	1994	
ed50e75c	0	
a5256410	0	
1e0e0831	0	
d48a8b02	0	
c9198e19	0	
f917e34f	0	
165e7987	0	
6ddd1c6d	0	
83d56f64	1990	
97c26818	1991	
bd74b31e	1990	
b41b77cf	0	
8c00ad61	0	
553289b3	0	
fb599b86	0	
7adf232f	0	
bdba113e	1992	
303b889f	0	
fccbf69b	0	
2884c6d1	0	
5aa53cbc	0	
61de6fe0	1993	
505314b6	0	
425e6a87	0	
13c181a4	1994	
3ab44d46	0	
17255224	0	
e6669a61	0	
a73abd27	0	
cc8b2b69	0	
